PO2,VO2
100.24,
93.26,0.702476914
90.327,0.980659109
89.52,0.269823355
86.815,0.904426488
84.043,0.926828179
81.565,0.828528221
79.406,0.721869422
76.684,0.910110499
74.636,0.684756173
73.043,0.532625285
70.353,0.899411184
68.06,0.766672805
65.892,0.724878605
63.377,0.840899304
61.207,0.725547312
59.036,0.725881666
56.422,0.87400031
54.487,0.646974216
51.974,0.840230597
49.734,0.748952064
47.941,0.599496005
45.664,0.761323147
43.28,0.797098982
41.226,0.686762294
39.187,0.68174699
37.196,0.665698018
35.289,0.637612315
32.767,0.843239779
30.756,0.67238509
28.912,0.616548038
27.023,0.63159395
25.342,0.562048402
23.427,0.640287144
21.596,0.612201442
19.863,0.579434789
18.207,0.553689562
16.721,0.49684945
15.282,0.48113483
13.87,0.472107283
12.518,0.452046067
11.223,0.432987912
9.9177,0.436431754
8.8037,0.37246991
7.82,0.328903636
6.8463,0.3255601
6.0283,0.273501245
5.304,0.242172312
4.633,0.224351266
4.0067,0.20940566
3.512,0.165404726
3.0747,0.146212829
2.7007,0.125048246
2.3577,0.114683285
2.059,0.09987142
1.8493,0.07011395
1.6267,0.074427111
1.495,0.044034369
1.373,0.040791139
1.234,0.04647515
1.094,0.046809504
0.93867,0.051935145
0.86867,0.023404752
0.809,0.019950879
0.67067,0.046251133
0.654,0.005573675
0.62267,0.010475298
0.56567,0.019058155
0.52933,0.01215041
0.50067,0.009582574
0.49,0.003567553
0.535,
0.47267,0.02084026
0.51467,
0.52067,
0.523,
0.52467,
0.53533,
0.527,0.002785165
0.544,
0.50833,0.011926393
0.511,
0.54033,
0.538,0.000779044
0.65567,
0.664,
