PO2,VO2
100.47,
94.788,0.833543525
92.4,0.798436397
88.002,1.470487133
85.005,1.002057739
83.747,0.420616829
80.76,0.998714203
77.891,0.959260478
75.706,0.730562616
73.807,0.634937486
71.296,0.83956189
69.194,0.702811267
67.409,0.596821176
64.296,1.040842757
61.812,0.830534342
60.224,0.530953517
58.016,0.738252749
55.385,0.879684322
53.276,0.705151742
50.735,0.849592498
48.82,0.640287144
46.247,0.860291813
44.352,0.633600072
42.054,0.768344573
40.321,0.579434789
37.633,0.898742477
35.285,0.785062253
32.975,0.772356816
30.844,0.712507522
28.322,0.843239779
25.641,0.896402002
23.471,0.725547312
21.399,0.692780659
19.315,0.696792902
17.709,0.536971882
15.732,0.661017067
14.132,0.53496576
12.473,0.554692622
11.084,0.46441715
9.6903,0.465988612
8.2467,0.482672857
7.1373,0.370931884
6.1517,0.329538908
5.2217,0.310948848
4.425,0.266379513
3.589,0.27951961
3.0827,0.169283228
2.563,0.173763566
2.185,0.126385661
1.8753,0.10354931
1.5803,0.098634312
1.334,0.082351292
1.2247,0.036544848
1.07,0.051724502
0.951,0.039788078
0.95067,0.000110337
0.81933,0.043914002
0.69267,0.042349227
0.674,0.006242382
0.53967,0.044913719
0.58833,
0.53133,0.019058155
0.472,0.019837199
0.408,0.02139863
0.362,0.015380266
0.40233,
0.30333,0.033101006
0.38567,
0.30167,0.028085702
0.284,0.005908028
0.301,
0.323,
0.227,0.032097946
0.294,
0.33167,
0.28967,0.014042851
0.302,
0.27067,0.010475298
0.38233,
0.299,0.027861685
0.3,
0.43233,
0.38433,0.016048973
0.29667,0.029309437
0.33867,
0.33467,0.001337414
0.503,
0.371,0.044134675
