PO2,VO2
98.978,
96.983,0.670109328
96.003,0.329176512
94.471,0.514590221
94.628,
93.548,0.362765952
92.98,0.190788019
92.449,0.178359926
90.432,0.677499005
89.481,0.319435574
88.897,0.19616233
87.501,0.468908582
86.524,0.328168829
85.272,0.420539789
83.963,0.43968577
82.87,0.367132579
82.47,0.13435776
80.898,0.528025997
79.703,0.401393808
78.855,0.284838451
77.938,0.308015165
77.118,0.275433408
75.642,0.495780134
74.186,0.489062246
73.184,0.336566189
72.277,0.304656221
71.548,0.244867018
70.053,0.502162128
69.154,0.301969066
67.77,0.46487785
66.369,0.470588054
65.043,0.445395974
64.301,0.249233645
62.61,0.56799743
61.438,0.393668237
59.962,0.495780134
58.753,0.40609633
57.27,0.498131395
56.195,0.36108648
54.779,0.47562647
53.228,0.520972214
51.972,0.421883366
50.509,0.491413507
49.268,0.41684495
48.027,0.41684495
46.638,0.466557322
45.299,0.449762602
44.242,0.355040381
42.88,0.457488173
41.547,0.447747235
40.145,0.470923949
39.079,0.35806343
37.793,0.431960198
36.492,0.436998614
35.349,0.383927299
34.06,0.432967882
32.812,0.419196211
31.684,0.378888883
30.409,0.42826536
28.41,0.671452906
27.583,0.277784669
26.149,0.48167257
24.682,0.492757085
23.639,0.350337859
22.019,0.544148928
20.79,0.412814218
19.21,0.530713152
18.142,0.358735219
16.662,0.497123712
15.415,0.418860317
13.974,0.48402383
12.892,0.363437741
11.324,0.526682419
10.851,0.158878051
9.401,0.48704688
8.858,0.182390659
8.025,0.279800035
7.557,0.157198579
6.523,0.34731481
5.676,0.284502557
4.943,0.246210595
4.247,0.233782502
3.181,0.35806343
2.678,0.168954883
1.935,0.249569539
1.308,0.210605789
0.324,0.33052009
