PO2,VO2
99.523,
95.143,0.141112627
95.044,0.032948467
93.468,0.524512973
92.108,0.452625408
91.138,0.322828416
89.908,0.409359744
88.704,0.400706611
87.308,0.464606669
86.489,0.272573683
84.693,0.597731789
84.222,0.156754829
82.688,0.510534835
81.165,0.506873894
80.178,0.328486234
78.756,0.473259802
77.916,0.279562752
76.649,0.421673818
75.96,0.229308019
74.789,0.389723789
73.745,0.347456563
72.036,0.568777075
71.052,0.327487795
69.877,0.39105504
68.805,0.356775322
67.887,0.30552215
66.844,0.34712375
65.316,0.508537958
64.347,0.322495603
63.276,0.356442509
61.78,0.497887949
60.859,0.306520589
59.917,0.313509658
58.598,0.438980083
57.756,0.280228378
56.314,0.479916058
55.299,0.337804992
54.05,0.415683187
53.278,0.256931482
51.814,0.487237939
50.92,0.297534643
49.667,0.417014438
48.734,0.310514342
47.437,0.431658202
46.337,0.36609408
45.254,0.360436262
43.897,0.45162697
42.684,0.403701926
41.49,0.397378483
40.308,0.39338473
39.334,0.324159667
38.608,0.241622093
37.609,0.332479987
35.961,0.548475494
34.5763,0.460845884
33.767,0.269345399
32.544,0.407030054
31.607,0.311845594
30.836,0.256598669
29.858,0.325490918
28.125,0.576764582
27.063,0.353447194
25.989,0.357440947
25.037,0.316837786
23.411,0.541153613
22.244,0.388392538
20.963,0.426333197
19.448,0.504211392
18.646,0.266915866
17.484,0.386728474
16.336,0.382069094
15.099,0.411689434
13.897,0.400040986
13.016,0.293208077
11.554,0.486572314
10.687,0.288548698
10.032,0.217992384
8.66,0.456619162
7.947,0.237295526
6.925,0.340134682
5.964,0.319833101
5.538,0.141778253
4.937,0.200020493
4.613,0.107831347
3.121,0.496556698
3.2303,
2.449,0.260026641
1.709,0.246281472
1.487,0.073884442
0.566,0.306520589
