PO2,VO2
100.01,
96.079,1.293144905
86.2,1.184587841
80.341,1.927381327
75.233,1.680331766
70.89,1.428676754
66.504,1.442822069
61.532,1.635593098
57.041,1.477362953
51.973,1.667173334
46.768,1.712240964
41.963,1.580656644
37.915,1.331633318
33.066,1.595130919
28.317,1.562234839
24.717,1.18425888
20.412,1.416176244
16.494,1.288868414
13.033,1.138533329
9.9403,1.017377066
7.303,0.867568318
5.158,0.705620916
3.5503,0.528870278
2.3973,0.379291802
1.7243,0.221390618
1.292,0.142209754
1.0187,0.089904987
0.79233,0.074466856
0.70933,0.027303746
0.60033,0.035856727
0.54133,0.019408687
0.49533,0.015132197
0.41533,0.026316864
0.373,0.013924911
0.342,0.010197785
0.333,0.002960647
0.318,0.004934412
0.294,0.007895059
