PO2,VO2
99.592,
91.364,0.726058858
87.298,0.021508027
72.469,2.83905959
68.877,1.170558086
69.035,
60.888,2.654937842
56.51,1.426699138
51.189,1.734003223
50.85,0.110473049
44.818,1.965703334
42.662,1.354353955
40.827,0.597988332
40.175,
38.245,1.280705256
38.677,
34.261,1.439082547
32.776,0.483930612
35.785,
33.178,0.849567074
33.154,2.940733901
32.656,
30.947,0.349342502
27.66,
26.588,0.504135122
27.156,
25.609,1.422462708
28.053,
23.688,
24.718,
27.918,
23.759,2.899347242
23.554,0.066805236
24.377,
23.279,0.357815362
22.197,0.352601294
22.372,
21.124,0.406697242
19.889,0.402460812
18.656,0.401809054
16.398,0.735835234
15.882,0.168153667
15.449,0.141105694
16.104,
16.157,
14.647,0.492077592
14.605,0.013686926
13.415,0.387796248
12.189,0.399527899
10.718,0.479368303
8.6997,0.657721989
8.405,0.0960366
7.8863,0.169033541
8.084,
9.981,
9.3993,0.189563931
6.1233,1.067580259
6.4703,
6.1447,0.106106268
4.319,0.594957655
3.4947,0.268622225
4.2767,
3.54,0.240075207
3.4187,0.039529147
3.746,
2.8927,0.278072721
2.5147,0.123182338
2.4003,0.03728058
1.9597,0.143582376
2.2393,
1.9373,0.098415518
2.1103,
2.036,0.024212825
1.7043,0.108094131
2.2447,
1.4503,0.258878436
0.98,0.153260988
1.3893,
1.359,0.00987414
0.94967,0.133392133
0.66467,0.092875572
0.92567,
0.688,0.077451709
0.59633,0.029873346
0.82733,
0.636,0.062350467
0.56733,0.022378125
0.73533,
0.60633,0.042038417
0.76933,
0.73567,0.010969094
0.91367,
0.98033,
1.0367,
0.86933,0.054542402
0.73867,0.042579376
0.71867,0.006517584
0.633,0.027918071
0.48467,0.048337662
0.526,
0.45233,0.024007521
0.367,0.027807272
0.37533,
0.36167,0.00445151
0.29833,0.020641189
0.20733,0.029655007
0.22767,
0.297,
0.19867,0.032043702
0.16033,0.012494209
0.14133,0.006191705
0.11833,0.007495222
0.11733,0.000325879
0.074333,0.014011828
0.074,0.000108518
0.078667,
0.07,0.002824395
0.074667,
0.064667,0.003258792
0.057333,0.002389998
0.053667,0.001194673
0.070667,
0.044,0.008690221
0.050333,
0.046333,0.001303517
0.032,0.004670827
0.025333,0.002172637
0.037667,
0.043333,
0.032667,0.003475828
0.032,0.000217361
0.007,0.00814698
0.015667,
0.02,
0.009,0.003584671
0.020667,
0.031,
0.014333,0.005431429
0.010667,0.001194673
0.012,
0.033667,
0.027333,0.002064119
0.013667,0.004453465
0.014667,
0.031333,
0.023,0.002715551
0.017333,0.001846757
0.028667,
0.032333,
0.022667,0.003149948
0.024333,
0.04,
0.007,0.010754014
0.021667,
