PO2,VO2
99.997,
93.25,0.56809219
91.758,0.497706134
89.707,0.684179143
88.308,0.466682897
86.704,0.535067453
84.107,0.86631557
82.53,0.526060706
80.902,0.54307345
79.058,0.615127421
77.734,0.441664157
75.75,0.661829069
74.063,0.562754858
71.963,0.70052472
69.97,0.664831318
68.451,0.506712881
66.366,0.695520972
64.63,0.579100435
62.352,0.75990253
60.951,0.467350063
58.805,0.715869547
56.923,0.627803582
54.829,0.698523221
53.511,0.439662658
51.978,0.511383046
50.098,0.627136416
48.575,0.508047214
46.932,0.548077198
44.872,0.687181392
43.343,0.510048713
41.417,0.642481243
40.079,0.446334322
38.623,0.485697139
37.048,0.52539354
35.314,0.578433269
33.581,0.578099686
31.869,0.571094438
30.228,0.547410031
28.786,0.481026974
27.574,0.404302838
25.79,0.595112429
24.096,0.565089941
22.772,0.441664157
21.093,0.560086193
19.662,0.477357559
18.264,0.466349314
16.67,0.531731621
15.318,0.451004486
13.87,0.483028474
12.489,0.460678399
11.245,0.414977501
10.012,0.411308086
8.6847,0.442764981
7.588,0.365840695
6.5107,0.359369181
5.5917,0.306562961
4.398,0.398198266
3.6504,0.2493868
2.8084,0.280877054
2.2624,0.182136427
1.6794,0.194479006
0.7428,0.312434025
0.1439,0.199782978
