PO2,VO2
100.03,
87.292,1.246470221
84.74,0.853270387
81.744,1.001723386
79.722,0.676062979
76.745,0.995370667
74.398,0.784727899
72.8,0.534297053
70.689,0.70582045
67.678,1.00673869
66.254,0.476119526
62.593,1.22406853
61.04,0.519251141
58.242,0.935521373
55.741,0.836218354
53.5845,0.721033538
51.2095,0.7940898
49.271,0.648144454
46.6595,0.873164426
43.1035,1.188961402
40.809,0.767174335
38.504,0.770685048
36.607,0.634268779
35.35,0.420282475
33.217,0.713176229
31.152,0.690440184
29.196,0.653995642
27.359,0.614207563
24.211,1.052545133
22.324,0.630925243
20.327,0.667704139
18.493,0.613204502
16.623,0.625241232
15.058,0.523263384
13.441,0.540649771
11.719,0.575756899
10.275,0.482806598
8.988,0.430313083
7.4767,0.505308596
6.3923,0.362573044
5.434,0.320411055
4.3073,0.376716201
3.4773,0.277513488
2.6747,0.268352199
1.9097,0.255780504
1.1923,0.239865273
0.78333,0.136740592
0.452,0.110781378
0.15633,0.098858329
