PO2,VO2
100.76,
96.043,0.434325326
94.378,0.556698744
92.932,0.483475306
91.365,0.523932091
89.128,0.747949003
87.131,0.667704139
86.1,0.344718562
84.207,0.632931365
82.197,0.672050736
80.394,0.602839541
78.774,0.541652832
77.815,0.320645102
75.613,0.736246627
73.293,0.775700352
72.307,0.32967265
70.281,0.677400394
68.528,0.586121861
67.209,0.441012398
65.49,0.574753838
63.428,0.689437123
61.857,0.525269506
60.194,0.556030037
58.493,0.568735474
56.498,0.667035432
55.107,0.465085858
53.122,0.663691896
51.403,0.574753838
49.746,0.554023915
48.318,0.477456941
46.404,0.63995279
44.781,0.542655893
43.273,0.504205229
41.65,0.542655893
39.952,0.567732413
38.291,0.55536133
36.694,0.533962699
35.096,0.534297053
33.543,0.519251141
32.121,0.475450819
30.409,0.572413363
28.988,0.475116466
27.35,0.547671197
25.804,0.516910666
24.383,0.475116466
22.869,0.50621135
21.345,0.509554886
19.879,0.490162378
18.463,0.473444698
17.016,0.483809659
15.623,0.465754565
14.404,0.407577038
13.111,0.432319205
11.787,0.442684166
10.361,0.476788234
9.124,0.413595403
8.044,0.361101888
6.936,0.370463789
5.851,0.362773656
4.865,0.32967265
4.015,0.28420056
3.171,0.282194438
2.12,0.351405634
1.53,0.197268624
0.5229,0.336727511
