PO2,VO2
100.246,
93.915,0.565423524
91.238,0.893002226
88.512,0.909347803
85.316,1.066131907
82.709,0.869651402
79.928,0.927694879
77.64,0.763238362
75.087,0.85163791
72.718,0.790258601
70.176,0.847968494
67.718,0.819947506
65.551,0.722874794
63.009,0.847968494
60.714,0.765573444
58.54,0.725209877
56.163,0.792927266
54.125,0.679842562
51.609,0.839295331
49.591,0.673170898
47.174,0.806270594
45.429,0.582102684
43.01,0.806937761
40.829,0.727544959
38.408,0.807604927
36.173,0.745558452
34.162,0.670835815
31.904,0.753230866
29.871,0.678174646
27.675,0.732548707
25.497,0.72654421
23.658,0.613459505
21.693,0.655490988
19.908,0.595446012
18.138,0.590442264
16.199,0.646817825
14.439,0.587106432
12.605,0.611791589
10.963,0.547743614
9.3893,0.524959882
7.8787,0.503910782
6.6077,0.423984247
5.306,0.434225251
4.3507,0.318672031
3.4703,0.293686649
2.652,0.272971133
2.0407,0.20391941
1.5957,0.148444524
1.3,0.098640552
0.95767,0.114195537
0.78,0.059267727
0.597,0.061045726
0.483,0.038028485
0.39933,0.027910906
0.275,0.041474399
0.22267,0.017456409
0.20733,0.005117166
0.181,0.008783246
0.095,0.028688155
0.083333,0.003891915
0.017667,0.021905074
