PO2,VO2
100.53,
93.72,0.665556264
91.614,0.705771144
91.207,0.136395468
88.806,0.804632724
86.581,0.7456509
85.907,0.225873576
83.611,0.769444704
82.226,0.46414674
80.645,0.529831044
79.746,0.301276476
77.015,0.915223644
75.014,0.670583124
72.914,0.7037604
71.451,0.490286412
69.491,0.65684304
67.693,0.602552952
66.131,0.523463688
65.078,0.352885572
63.73,0.451747152
60.532,1.071726552
59.479,0.352885572
57.689,0.59987196
55.58,0.706776516
54.002,0.528825672
52.107,0.63505998
50.217,0.63338436
48.435,0.597190968
46.639,0.601882704
44.853,0.598531464
43.129,0.577753776
41.481,0.552284352
39.504,0.662540148
37.53,0.661534776
35.567,0.657848412
34.068,0.502350876
32.234,0.614617416
30.69,0.517431456
28.852,0.615957912
27.563,0.431974836
25.567,0.668907504
24.221,0.451076904
22.956,0.42393186
20.958,0.669577752
19.88,0.361263672
18.236,0.550943856
16.942,0.433650456
15.773,0.391759956
14.428,0.45074178
13.196,0.412872768
12.451,0.24966738
11.39,0.355566564
10.209,0.395781444
9.378,0.278488044
8.597,0.261731844
7.8413,0.253253207
7.2777,0.188875886
6.542,0.246550727
5.909,0.212133492
5.4677,0.147890221
4.9587,0.170578116
4.53,0.143667659
4.137,0.131703732
3.775,0.121314888
3.5753,0.066924263
3.2123,0.121650012
3.0027,0.07024199
2.881,0.040784591
2.5787,0.101307985
2.4687,0.03686364
2.2433,0.07553695
2.2803,
1.9947,0.095711414
1.9513,0.014544382
1.8577,0.031367606
1.726,0.044135831
1.7637,
1.6493,0.038338186
1.7,
1.6903,0.003250703
1.7177,
1.6933,0.008177026
1.691,0.000770785
1.745,
1.7897,
1.5658,0.075034264
1.3527,0.071414924
1.1687,0.061662816
0.87667,0.097866262
0.7823,0.031625652
0.63667,0.048804108
0.48333,0.051387914
