PO2,VO2
99.695,
96.733,0.990355363
89.006,0.849592498
87.264,0.582443971
84.842,0.809804419
81.921,0.976646866
79.762,0.721869422
76.762,1.0030608
73.819,0.984002645
71.526,0.766672805
69.258,0.758313965
66.118,1.049870304
63.499,0.875672078
60.461,1.015766237
57.775,0.89807377
54.501,1.094673686
51.688,0.940536677
48.659,1.012757054
45.878,0.929837362
42.819,1.022787662
40.18,0.88235915
37.136,1.017772358
33.959,1.062241387
30.796,1.057560437
27.963,0.947223749
25.151,0.940202323
22.656,0.834212232
20.256,0.80244864
18.102,0.720197654
16.051,0.685759234
14.24,0.60551437
12.461,0.594815054
10.86,0.535300114
9.4123,0.484043707
8.0893,0.442349813
6.8453,0.415935878
5.812,0.345487575
4.8927,0.307371264
4.0893,0.268619682
3.403,0.229466876
2.856,0.182891419
2.304,0.184563187
1.8813,0.141331267
1.5763,0.101977848
1.2957,0.09381962
1.1343,0.053964671
0.909,0.075329866
0.779,0.043465968
0.67133,0.035999852
0.51967,0.050708067
0.41133,0.036223869
0.326,0.028530393
0.272,0.018055094
0.19567,0.02552121
0.091333,0.034885452
0.038333,0.017720741
0.0073333,0.010364861
