PO2,VO2
100.84,
92.397,0.61487627
89.845,0.853270387
88.008,0.614207563
88.182,
86.206,0.660682714
85.135,0.358092706
82.766,0.792083678
81.095,0.558704866
79.368,0.577428667
77.956,0.472107283
76.022,0.646639862
74.413,0.537974942
72.653,0.588462336
71.091,0.522260323
68.896,0.733906152
67.262,0.546333782
65.351,0.63894973
63.159,0.732903091
62.24,0.307270958
60.133,0.704483035
58.344,0.59815859
56.223,0.709163986
54.473,0.5851188
52.866,0.537306235
51.03,0.61387321
49.446,0.529616102
47.689,0.587459275
46.497,0.398549491
44.482,0.673722504
42.858,0.542990246
41.286,0.525603859
39.696,0.531622224
38.213,0.495846389
36.429,0.596486822
34.82,0.537974942
33.241,0.527944334
31.643,0.534297053
30.518,0.3761478
29.134,0.462745382
27.527,0.537306235
25.83,0.567398059
24.351,0.494508974
22.945,0.470101162
21.528,0.473779051
20.009,0.507883118
18.645,0.45605831
17.296,0.451043006
16.066,0.411254928
14.694,0.458733139
13.462,0.411923635
12.288,0.392531126
11.061,0.410251867
9.8923,0.390759052
8.871,0.341475332
7.8493,0.341609073
6.935,0.305699496
6.09,0.282528792
5.2537,0.279619916
4.5633,0.230837725
3.8747,0.230235889
3.3157,0.186903662
2.8003,0.172325845
2.305,0.165605338
1.938,0.122707771
1.6553,0.094521763
1.3743,0.093953362
1.1097,0.088469963
0.93367,0.058856264
0.763,0.057064129
0.617,0.048815626
0.48967,0.042573244
0.357,0.044358692
0.319,0.012705437
0.10733,0.070772627
0.122,
0.044333,0.025968241
